CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.003-2.1	SteerValue-0.12-0.003-2.1	CTE-0.12-0.002-2.1	SteerValue-0.12-0.002-2.1	CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.005-1.8	SteerValue-0.12-0.005-1.8
-0.4632	0.01417	-0.1865	0.0150597	-0.0153	0.0065854	-0.23	-0.007518	-0.2582	-0.002116
-0.4971	0.0182035	-0.2279	0.0352014	-0.0446	0.0085106	-0.2913	0.0048945	-0.2943	-0.0382525
-0.539	0.0427265	-0.2541	0.0071877	-0.0726	0.0092858	-0.34	-0.0102415	-0.3546	0.0143165
-0.5797	0.047989	-0.2836	0.0185085	-0.0995	0.0104028	-0.4001	0.019491	-0.4044	0.0034145
-0.6171	0.0486325	-0.3173	0.0323244	-0.1248	0.0103284	-0.4489	0.0072515	-0.4528	0.0089665
-0.6439	0.032808	-0.3437	0.0211935	-0.1487	0.0105538	-0.4966	0.0134785	-0.5012	0.0172805
-0.6738	0.046275	-0.3667	0.0179136	-0.1668	0.0008794	-0.5441	0.021539	-0.561	0.0477815
-0.701	0.047374	-0.3872	0.0162852	-0.1879	0.0100872	-0.6029	0.0519495	-0.6081	0.033614
-0.7199	0.0358115	-0.4023	0.0079641	-0.2042	0.0023716	-0.6489	0.037674	-0.6526	0.037537
-0.7432	0.0515635	-0.4225	0.0223656	-0.227	0.0192116	-0.6922	0.041471	-0.7066	0.06465
-0.7589	0.041282	-0.4377	0.0150027	-0.2412	0.003338	-0.734	0.047457	-0.7481	0.0508705
-0.7701	0.0370265	-0.4545	0.0217422	-0.259	0.013552	-0.7841	0.0723295	-0.7867	0.054216
-0.7766	0.0318195	-0.4618	0.0040536	-0.2722	0.0060204	-0.8218	0.0586425	-0.823	0.058547
-0.7794	0.0282825	-0.4679	0.0036693	-0.285	0.0072864	-0.8558	0.0603415	-0.8654	0.078942
-0.7785	0.024297	-0.4655	-0.0130722	-0.29	-0.0079136	-0.887	0.0634805	-0.8963	0.0664315
-0.7743	0.0207345	-0.4539	-0.0324225	-0.2807	-0.0384982	-0.9222	0.0795155	-0.9234	0.0674605
-0.7573	-0.004399	-0.4207	-0.0805044	-0.2635	-0.0566252	-0.9467	0.067929	-0.9415	0.05814
-0.7255	-0.0356675	-0.3889	-0.0802137	-0.2357	-0.0817498	-0.9669	0.0674475	-0.9628	0.07127
-0.6798	-0.0669425	-0.3634	-0.0689535	-0.2064	-0.088003	-0.9871	0.074807	-0.9852	0.080864
-0.6218	-0.0966235	-0.3412	-0.0636639	-0.1861	-0.0711668	-0.9993	0.0668675	-0.9989	0.0718425
-0.5706	-0.0856345	-0.3281	-0.0451416	-0.1766	-0.0492736	-1.0071	0.064919	-1.008	0.0696945
-0.5357	-0.052914	-0.3177	-0.0397665	-0.1721	-0.0389694	-1.0115	0.0643845	-1.0135	0.068942
-0.5078	-0.039023	-0.3109	-0.0320898	-0.1704	-0.0329526	-1.0101	0.058827	-1.0134	0.063917
-0.4787	-0.0426415	-0.308	-0.0233238	-0.1707	-0.0283752	-1.0047	0.0560025	-1.0095	0.0616565
-0.4519	-0.038768	-0.3054	-0.0220896	-0.173	-0.0235532	-0.9931	0.048416	-0.9994	0.0542815
-0.428	-0.033406	-0.3039	-0.0190479	-0.176	-0.0213712	-0.9798	0.048659	-0.9871	0.053781
-0.4102	-0.020681	-0.3029	-0.0172092	-0.1806	-0.017098	-0.9586	0.036688	-0.9714	0.050634
-0.3939	-0.0175175	-0.3019	-0.0164235	-0.1848	-0.0170644	-0.9341	0.0324785	-0.9522	0.046791
-0.3776	-0.0175855	-0.301	-0.0154185	-0.1901	-0.0137382	-0.8878	-0.0078785	-0.9164	0.017197
-0.3579	-0.0253	-0.2999	-0.0150708	-0.1945	-0.0147112	-0.838	-0.0159645	-0.8747	0.0059465
-0.3379	-0.0266405	-0.2984	-0.0151956	-0.1977	-0.0164518	-0.7667	-0.059387	-0.8227	-0.01472
-0.322	-0.0183285	-0.2968	-0.0147072	-0.2022	-0.0127774	-0.709	-0.038286	-0.7631	-0.0317365
-0.3041	-0.023156	-0.295	-0.0144582	-0.2065	-0.0122684	-0.64	-0.063706	-0.703	-0.0363335
-0.275	-0.048793	-0.2928	-0.0146838	-0.2096	-0.0139972	-0.5733	-0.0647035	-0.6288	-0.0674735
-0.2587	-0.0225755	-0.2897	-0.0160767	-0.2126	-0.013422	-0.5228	-0.0389895	-0.5562	-0.0705245
-0.2466	-0.0139745	-0.286	-0.0169227	-0.2145	-0.015075	-0.4633	-0.060013	-0.5013	-0.042746
-0.2393	-0.003574	-0.2827	-0.0156306	-0.2163	-0.0146364	-0.417	-0.039724	-0.437	-0.065197
-0.2278	-0.012635	-0.2785	-0.0171891	-0.2173	-0.0157618	-0.3619	-0.0603665	-0.387	-0.043522
-0.2165	-0.0124885	-0.2736	-0.0184263	-0.2181	-0.0156496	-0.3194	-0.0411895	-0.3395	-0.0430245
-0.1964	-0.0323985	-0.2394	-0.0833421	-0.2124	-0.0295588	-0.2793	-0.040285	-0.2933	-0.044762
-0.1577	-0.075314	-0.2019	-0.0941664	-0.1848	-0.0784912	-0.2405	-0.0413985	-0.2482	-0.046953
-0.1016	-0.118078	-0.158	-0.1124	-0.1325	-0.136372	-0.1937	-0.060446	-0.2045	-0.0486545
-0.0395	-0.137932	-0.1241	-0.0950961	-0.0938	-0.112269	-0.149	-0.061285	-0.1522	-0.0696495
0.0058	-0.108117	-0.1056	-0.0646593	-0.0657	-0.0932492	-0.1164	-0.042835	-0.1126	-0.0509785
0.0261	-0.058184	-0.0912	-0.0575037	-0.0577	-0.0518838	-0.0866	-0.040938	-0.0679	-0.065183
0.0332	-0.031482	-0.0878	-0.0345483	-0.0626	-0.0240806	-0.0518	-0.053855	-0.0268	-0.063501
0.0307	-0.0111755	-0.0921	-0.017586	-0.0781	0.0001956	-0.0256	-0.041391	0.0026	-0.045982
0.0249	-0.003674	-0.1005	-0.0076665	-0.0938	0.0026872	-0.0018	-0.039918	0.0347	-0.0548675
0.0171	0.0013765	-0.1123	0.0012264	-0.1091	0.0039014	0.0202	-0.039419	0.0578	-0.0417285
0.0117	-0.003074	-0.1218	-0.0020982	-0.1245	0.0062084	0.0455	-0.0486225	0.0783	-0.0399
0.0082	-0.006685	-0.1307	-0.0018981	-0.1347	-0.0032182	0.0639	-0.03873	0.0969	-0.0391965
0.0067	-0.0107385	-0.1358	-0.0088587	-0.1428	-0.0063706	0.0837	-0.0440445	0.1179	-0.046626
0.0072	-0.0150345	-0.1392	-0.0116031	-0.1469	-0.0139848	0.1007	-0.041548	0.1329	-0.0382905
0.0094	-0.0189155	-0.1402	-0.0161025	-0.1493	-0.0169682	0.1121	-0.0333965	0.1457	-0.036595
0.012	-0.0201275	-0.1399	-0.0184488	-0.1499	-0.0203764	0.1215	-0.031532	0.1568	-0.035651
0.0148	-0.0209575	-0.1388	-0.0198444	-0.15	-0.0211144	0.1315	-0.0344695	0.1664	-0.034935
0.018	-0.0222715	-0.1379	-0.0191187	-0.1503	-0.0203578	0.1382	-0.0300245	0.1764	-0.037737
0.0205	-0.021204	-0.129	-0.0365997	-0.1411	-0.0411296	0.157	-0.0548455	0.1827	-0.0327465
0.0476	-0.076354	-0.0724	-0.143344	-0.1046	-0.10263	0.1909	-0.087048	0.1909	-0.038105
0.1176	-0.175432	-0.0312	-0.115855	-0.0553	-0.135316	0.2277	-0.0978225	0.2141	-0.0689595
0.1682	-0.141605	0.0125	-0.126386	-0.0091	-0.134332	0.2667	-0.107796	0.2448	-0.0873675
0.1838	-0.070896	0.0302	-0.074001	0.0112	-0.0824	0.2952	-0.093792	0.2779	-0.097049
0.1815	-0.0339375	0.026	-0.027585	0.0107	-0.0386814	0.3118	-0.075923	0.3111	-0.102769
0.1649	-0.00274	0.0025	0.0157575	-0.0098	0.0057982	0.317	-0.057612	0.3336	-0.0878765
0.136	0.025878	-0.0222	0.0213081	-0.0405	0.0309832	0.3148	-0.045602	0.3433	-0.067717
0.1046	0.034373	-0.0452	0.0206337	-0.0713	0.0350318	0.3084	-0.038816	0.3465	-0.0581335
0.0827	0.0166375	-0.0636	0.0133725	-0.0914	0.0151566	0.299	-0.033783	0.3433	-0.047946
0.0654	0.0087265	-0.0788	0.0087129	-0.1023	-0.0026508	0.2871	-0.0292905	0.336	-0.04137
0.0574	-0.0101305	-0.0865	-0.0058536	-0.1104	-0.007338	0.2731	-0.025196	0.3221	-0.0294325
0.0563	-0.02477	-0.0876	-0.0193188	-0.1153	-0.0132394	0.2533	-0.0136465	0.308	-0.0289205
0.0592	-0.033814	-0.0829	-0.0318141	-0.1154	-0.0230766	0.2316	-0.0087805	0.2921	-0.025233
0.063	-0.036475	-0.0795	-0.0292536	-0.1132	-0.0279442	0.2096	-0.0066485	0.2702	-0.013156
0.0646	-0.03237	-0.0753	-0.0312117	-0.1106	-0.028875	0.1924	-0.0141865	0.2466	-0.008497
0.0631	-0.0259955	-0.0729	-0.027501	-0.1087	-0.0274156	0.1719	-0.006646	0.2274	-0.01525
0.0675	-0.039251	-0.0428	-0.0891546	-0.0898	-0.065204	0.156	-0.013798	0.2042	-0.006287
0.1022	-0.107556	0.0054	-0.132965	-0.0432	-0.12888	0.1371	-0.0068155	0.1812	-0.004793
