CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.009-1.8-NoBreak	SteerValue-0.12-0.009-1.8-NoBreak
-0.2266	0.155386	-0.4135	-0.0425535
-0.3423	0.050021	-0.3684	-0.0433899
-0.4714	0.09199	-0.3343	-0.0246732
-0.5334	-0.018683	-0.2955	-0.0351297
-0.5793	-0.0392585	-0.2665	-0.0185712
-0.6176	-0.0452545	-0.2268	-0.040554
-0.6653	-0.019284	-0.1966	-0.0253086
-0.7079	-0.0198125	-0.1755	-0.0098811
-0.7597	0.006762	-0.1524	-0.0148815
-0.8029	0.0004805	-0.1344	-0.0066519
-0.851	0.0193275	-0.112	-0.0162519
-0.8748	-0.0171825	-0.0839	-0.0291288
-0.7822	-0.233903	-0.0597	-0.0244755
-0.666	-0.286997	-0.0368	-0.0245523
-0.5568	-0.284718	-0.0116	-0.0316119
-0.5134	-0.168918	0.004	-0.0162399
-0.5136	-0.0878465	0.0212	-0.0213747
-0.5475	-0.020381	0.0368	-0.0206979
-0.6052	0.032409	-0.1093	0.288878
-0.688	0.090965	-0.079	-0.0315672
-0.7537	0.0718375	-0.2357	0.325958
-0.8053	0.056676	-0.3939	0.351187
-0.842	0.03847	-0.4513	0.180697
-0.8645	0.0199325	-0.4484	0.0758445
-0.8741	0.002235	-0.375	-0.0564885
-0.8729	-0.0129845	-0.2927	-0.0797502
-0.8613	-0.02879	-0.4523	0.378892
-0.847	-0.031131	-0.5825	0.346839
-0.8319	-0.0302235	-0.7086	0.360968
-0.8178	-0.0260265	-0.7285	0.178753
-0.8056	-0.0200425	-0.6668	0.0304701
-0.7952	-0.0140745	-0.493	-0.187729
-0.7877	-0.005816	-0.302	-0.238891
-0.7769	-0.0091675	-0.1153	-0.252517
-0.7689	-0.001243	-0.2946	0.43045
-0.7577	-0.0045585	-0.6395	0.775674
-0.744	-0.0069825	-0.9508	0.761107
-0.7241	-0.01691	-1.131	0.55693
-0.7046	-0.015007	-1.222	0.418288
-0.6749	-0.0335565	-1.2392	0.298665
-0.6495	-0.025617	-1.4969	0.775961
-0.6186	-0.036132	-1.6607	0.641543
-0.5948	-0.023234	-1.7054	0.447876
-0.5672	-0.03055	-1.5546	0.0918711
-0.5464	-0.018074	-1.265	-0.181336
-0.5223	-0.0242945	-0.8901	-0.371853
-0.504	-0.0135305	-0.768	0.075447
-0.4777	-0.028698	-0.8412	0.443342
-0.4563	-0.0201645	-0.9097	0.451289
-0.4443	-0.002463	-0.9102	0.337141
-0.4211	-0.0233015	-0.7841	0.101186
-0.4044	-0.0115835	-0.5856	-0.0476838
-0.3789	-0.028589	-0.3351	-0.168328
-0.3658	-0.006012	-0.1165	-0.136091
-0.3446	-0.021413	-0.0157	0.0639939
-0.3227	-0.0236875	0.0641	0.091641
-0.3052	-0.0163415	0.1416	0.0852066
-0.2841	-0.023933	0.2616	-0.0080478
-0.2673	-0.0168725	0.3856	-0.0335982
-0.2468	-0.0247585	0.4882	-0.011784
-0.2436	0.0072155	0.4716	0.200524
-0.3197	0.160686	0.4605	0.187811
-0.4912	0.355442	0.4944	0.0982935
-0.6343	0.324666	0.5731	0.0030516
-0.7113	0.218482	0.7185	-0.140923
-0.7138	0.088251	0.8664	-0.170968
-0.6539	-0.0279875	0.9257	-0.0269358
-0.5758	-0.0672405	0.9597	0.0058869
-0.5783	0.081031	0.9831	0.013311
-0.7113	0.335448	1.0057	0.0029877
-0.8566	0.379307	1.0307	-0.0136086
-0.9381	0.278937	1.059	-0.0324756
-0.9424	0.145205	1.0954	-0.0612822
-0.8844	0.030527	1.13	-0.0723642
-0.799	-0.025046	1.152	-0.0626922
-0.6938	-0.069841	1.1652	-0.058923
-0.5768	-0.102237	1.1652	-0.0456498
-0.3959	-0.236985	1.1549	-0.0362679
-0.5063	0.303134	1.1276	-0.0125403
-0.8221	0.714861	1.0799	0.0201846
-1.1019	0.689146	1.0451	-0.0082653
-1.2818	0.537323	1.0041	-0.0012222
-1.3304	0.313467	0.965	-0.0086352
-1.2655	0.107707	0.9211	-0.0030171
-1.3625	0.417579	0.8807	-0.0123954
-1.5636	0.636909	0.8503	-0.0344001
-1.6574	0.463312	0.8219	-0.0419892
-1.6515	0.291402	0.7924	-0.0436008
-1.4939	0.006899	0.7595	-0.0403683
-1.2832	-0.107549	0.747	-0.0823113
-1.086	-0.101483	0.775	-0.165546
-1.1346	0.352462	0.8041	-0.178255
-1.2766	0.544005	0.7996	-0.124432
-1.3641	0.463226	0.7707	-0.0839799
-1.3419	0.269811	0.7221	-0.0491868
-1.2221	0.0858655	0.6198	0.054171
-1.0372	-0.0483165	0.5374	0.0234024
-0.768	-0.22852	0.4126	0.110985
-0.537	-0.184795	0.333	0.03618
-0.4068	-0.0169455	0.2342	0.0804882
-0.3802	0.168244	0.171	0.0224532
-0.3499	0.159697	0.1352	-0.0237876
-0.2992	0.118389	0.1025	-0.0263661
-0.2174	0.05368	0.0834	-0.0493047
-0.0849	-0.0530555	0.0716	-0.0616731
0.0718	-0.115778	0.0614	-0.0638817
0.1322	0.0496525	0.0438	-0.0488439
0.1116	0.197367	0.0177	-0.0305712
0.1016	0.178979	0.131	-0.296266
0.1422	0.0823155	0.2159	-0.257277
0.2173	0.010117	0.3417	-0.349069
0.3179	-0.0494445	0.3993	-0.236814
0.4305	-0.086709	0.3928	-0.124189
0.4977	-0.0155415	0.3324	-0.0229131
0.5382	0.0249675	0.1794	0.160512
0.5783	0.017984	-0.0142	0.256952
0.6247	-0.0020475	-0.1411	0.15339
0.6895	-0.046391	-0.0159	-0.315271
0.7478	-0.045426	0.1966	-0.49968
0.8039	-0.0522175	0.409	-0.528669
0.8553	-0.054202	0.4804	-0.287761
0.9091	-0.0695235	0.45	-0.104923
0.9523	-0.060389	0.3816	-0.0317493
0.9733	-0.0278155	0.2224	0.148793
0.9933	-0.033382	0.031	0.229442
1.0048	-0.024486	-0.1559	0.245173
1.0063	-0.0116975	-0.3102	0.207801
0.9975	0.002911	-0.4137	0.132504
0.9842	0.007686	-0.2197	-0.424298
0.9735	-0.0005775	0.5928	-1
0.968	-0.0141175	1.4119	-1
0.9678	-0.0284725	2.1061	-1
0.9707	-0.039254	2.5255	-1
0.9725	-0.0423525	2.7507	-0.921389
0.9722	-0.0433975	2.7711	-0.580137
0.9679	-0.040521	2.5989	-0.236183
0.9588	-0.035583	2.3346	-0.0596988
0.9444	-0.029037	1.8303	0.416345
0.9452	-0.061219	1.4401	0.244828
0.9897	-0.150167	0.9523	0.470473
1.0238	-0.140659	0.4207	0.609319
1.0454	-0.125978	0.0654	0.334026
1.0403	-0.082507	-0.1538	0.116734
1	-0.019311	0.0088	-0.590097
0.9557	-0.0115735	0.4379	-1
0.8759	0.057523	1.0256	-1
0.8186	0.019806	1.4595	-1
0.7394	0.065033	1.99	-1
0.692	0.010021	2.2335	-1
0.6351	0.0307735	2.3811	-0.933521
0.591	0.0100705	2.279	-0.49232
0.5654	-0.0229845	1.9063	0.0223269
0.5487	-0.039744	1.5541	0.013704
0.5357	-0.0475225	0.9557	0.520071
0.522	-0.0472285	0.5417	0.232955
0.5048	-0.0413885	-0.0401	0.605172
0.4824	-0.0317525	-0.4669	0.38159
0.4549	-0.021547	-0.7943	0.249107
0.5049	-0.169571	-1.0346	0.130475
0.6162	-0.296348	-1.2154	0.0560091
0.7706	-0.396309	-1.1286	-0.425929
0.8566	-0.287793	-0.9453	-0.613118
0.8949	-0.211003	-0.798	-0.558812
0.8583	-0.0760825	-0.7451	-0.388534
0.786	-0.0070765	-0.8119	-0.157751
0.6605	0.100441	-0.9952	0.082902
0.4865	0.206188	-1.1995	0.156014
0.3706	0.113664	-1.4155	0.215733
0.4711	-0.290272	-1.6146	0.223736
0.6575	-0.470547	-1.6792	0.0045012
0.8127	-0.437075	-1.4971	-0.447937
0.8877	-0.306154	-1.3138	-0.460269
0.8593	-0.120922	-1.188	-0.361173
0.7236	0.084884	-1.0914	-0.310382
0.5553	0.160984	-1.0967	-0.116456
0.3733	0.205617	-1.1512	-0.010995
0.1785	0.251141	-1.2807	0.151071
0.057	0.133495	-1.4056	0.17043
-0.0122	0.0477205	-1.5155	0.170257
0.1138	-0.319329	-1.6093	0.167017
0.6681	-1	-1.6505	0.0921354
1.3923	-1	-1.6523	0.0363021
1.8927	-1	-1.6216	-0.0112875
2.2497	-1	-1.5297	-0.118708
2.4401	-0.757619	-1.2105	-0.555258
2.3862	-0.323342	-0.8606	-0.64476
2.1089	0.101509	-0.5394	-0.62679
1.7098	0.360093	-0.4185	-0.276991
1.3377	0.349456	-0.3813	-0.127363
0.993	0.336535	-0.4538	0.0828807
0.7575	0.164448	-0.5955	0.229804
0.5134	0.206652	-0.7312	0.241869
0.3095	0.157213	-0.8432	0.220238
0.1113	0.17018	-0.913	0.160871
-0.016	0.0579165	-0.9369	0.0895509
0.0327	-0.264891	-0.9003	-0.0156384
0.327	-0.743922	-0.8498	-0.0390702
0.8327	-1	-0.759	-0.115675
1.1827	-0.956943	-0.6626	-0.13136
1.5585	-1	-0.5452	-0.178341
1.711	-0.681187	-0.2593	-0.513615
1.7	-0.394066	0.0875	-0.665639
1.5626	-0.157872	0.2832	-0.419692
1.2519	0.185093	0.3575	-0.213305
0.9906	0.122576	0.3051	0.018297
0.7453	0.119486	0.2168	0.0915618
0.5628	0.0255315	0.0529	0.246834
0.3902	0.0264725	-0.0564	0.162177
0.2224	0.0368565	-0.1658	0.176978
-0.0241	0.208217	-0.2496	0.1432
-0.2186	0.13905	-0.2788	0.0509331
-0.3798	0.100353	-0.27	-0.0160929
-0.5124	0.067347	-0.2352	-0.0649521
-0.6431	0.0828265	-0.1745	-0.117286
-0.6832	-0.0720255	-0.0642	-0.219224
-0.5205	-0.453987	0.199	-0.527819
-0.3093	-0.565084	0.3847	-0.414065
-0.2085	-0.377418	0.4852	-0.277132
-0.1584	-0.291378	0.4922	-0.114102
-0.1758	-0.166911	0.4265	0.0208038
-0.2568	-0.041427	0.3107	0.122084
-0.3801	0.0514095	0.146	0.228554
-0.4699	0.004235	0.0398	0.135639
-0.5775	0.0520745	0.0827	-0.138633
-0.6835	0.065332	0.1705	-0.231523
-0.7415	-0.0104005	0.2747	-0.27602
-0.6087	-0.366733	0.3256	-0.189118
-0.4279	-0.47269	0.3253	-0.0998499
-0.3217	-0.349545	0.2793	-0.0145836
-0.3113	-0.176796	0.2238	0.0071622
-0.3723	-0.039095	0.2082	-0.0646596
-0.4633	0.0281415	0.1976	-0.074166
-0.5885	0.107668	0.1756	-0.0525864
-0.7322	0.161873	0.1392	-0.0235512
-0.8013	0.0398915	0.0907	0.0032325
-0.8743	0.060043	0.0344	0.0237189
-0.9168	0.014827	0.0237	-0.0572904
-0.9483	0.0035485	0.0865	-0.197905
-0.977	0.0068375	0.1593	-0.226075
-1.0006	0.0054925	0.1837	-0.143536
-1.0115	-0.011002	0.1764	-0.0871875
-0.9206	-0.200547	0.1308	-0.0139527
-0.6331	-0.585761	0.0569	0.0453432
-0.4065	-0.501301	-0.0327	0.0846495
-0.2388	-0.414211	-0.1238	0.0993957
-0.1897	-0.205675	-0.2179	0.118049
-0.2073	-0.082466	-0.2822	0.0746646
-0.264	-0.003962	-0.2524	-0.0960198
-0.3754	0.109743	-0.1747	-0.189991
-0.46	0.073955	-0.0627	-0.264607
-0.5187	0.0369725	0.0038	-0.190721
-0.5811	0.054026	0.0249	-0.111757
-0.644	0.065694	0.002	-0.0298275
-0.6854	0.035389	-0.0566	0.0419739
-0.714	0.019351	-0.0646	-0.0475647
-0.7336	0.009171	-0.0367	-0.115202
-0.7409	-0.0083885	-0.0202	-0.0964806
-0.7422	-0.0153215	-0.0205	-0.0660201
-0.7402	-0.0178005	-0.0408	-0.0272169
-0.6548	-0.174894	-0.0774	0.0072117
-0.4851	-0.344573	-0.1346	0.0523671
-0.221	-0.54508	-0.1745	0.0275856
-0.0543	-0.389493	-0.2181	0.0414405
0.0461	-0.282431	-0.258	0.0418905
0.0419	-0.0938565	-0.2787	0.0123228
-0.0202	0.0179165	-0.2744	-0.0307236
-0.0956	0.0513825	-0.189	-0.185251
-0.1892	0.0963205	-0.0961	-0.209034
-0.26	0.0650765	-0.0258	-0.176557
-0.3168	0.0482765	0.0074	-0.113828
-0.3687	0.047528	0.0006	-0.0410175
-0.4035	0.0229415	-0.0523	0.0487812
-0.4215	-0.003031	-0.1101	0.0655281
-0.4262	-0.024276	-0.0752	-0.104843
-0.4256	-0.03176	-0.0542	-0.0818553
-0.4169	-0.0452995	-0.0323	-0.0858126
-0.2562	-0.336902	-0.0308	-0.0489954
-0.13	-0.289296	-0.0495	-0.0099459
0.0101	-0.331179	-0.0783	0.0123948
0.0709	-0.196089	-0.1055	0.0137283
0.0771	-0.098939	-0.1459	0.0436494
0.0409	-0.0184795	-0.1699	0.0185385
-0.0368	0.0657285	-0.1912	0.0179553
-0.1282	0.101998	-0.203	0.0040983
-0.1947	0.066131	-0.2057	-0.0101064
-0.1402	-0.157508	-0.2004	-0.0233388
-0.0466	-0.238887	-0.1895	-0.0330213
0.0369	-0.230911	-0.1463	-0.0950286
0.0891	-0.181281	-0.0509	-0.199978
0.0842	-0.078334	0.0185	-0.161673
0.027	0.022535	0.0856	-0.166355
-0.0616	0.089995	0.1012	-0.0764382
-0.0997	0.0041655	0.0786	-0.0056736
-0.0911	-0.080471	0.0276	0.051318
-0.0709	-0.10342	-0.0237	0.0582273
-0.0593	-0.089036	-0.0839	0.0822264
-0.0635	-0.0597745	-0.0642	-0.0633798
-0.0821	-0.031212		
-0.1116	-0.007494		
-0.0989	-0.0844835		
-0.0265	-0.200499		
0.0475	-0.212496		
0.0774	-0.137091		
0.0769	-0.082696		
0.0495	-0.0312355		
-0.0311	0.074352		
-0.1178	0.096325		
-0.1838	0.067904		
-0.2411	0.0603255		
-0.2708	0.0155635		
			
0.0156950948	-0.0594349036		
