CTE-0.12-0.005-2.1	SteerValue-0.12-0.005-2.1	CTE-0.12-0.005-2	SteerValue-0.12-0.005-2	CTE-0.12-0.005-1.8	SteerValue-0.12-0.005-1.8
-0.2451	-0.0166005	-0.1981	-0.022913	-0.1239	-0.0268875
-0.23	-0.0210425	-0.1851	-0.0177475	-0.1111	-0.021568
-0.2176	-0.0157725	-0.1724	-0.0178095	-0.097	-0.025115
-0.2029	-0.021352	-0.1544	-0.0297975	-0.086	-0.020425
-0.1851	-0.0290725	-0.121	-0.0640005	-0.0685	-0.0338825
-0.1464	-0.0768745	-0.0677	-0.109858	-0.0189	-0.09752
-0.0914	-0.117248	-0.0051	-0.135944	0.0454	-0.131923
-0.0402	-0.115211	0.0414	-0.109531	0.0968	-0.115355
0.0054	-0.10895	0.0664	-0.0698635	0.1193	-0.0666315
0.0286	-0.0648365	0.0721	-0.032308	0.1348	-0.0565655
0.0393	-0.040067	0.0666	-0.009581	0.1414	-0.0420445
0.0419	-0.0235785	0.0577	-0.0020015	0.1387	-0.025674
0.0389	-0.011653	0.0462	0.0043475	0.1312	-0.01679
0.0324	-0.003685	0.0379	-0.001246	0.119	-0.007461
0.0263	-0.0039245	0.0319	-0.0052855	0.1057	-0.0044135
0.0205	-0.003961	0.0277	-0.00852	0.0949	-0.008092
0.0169	-0.0082335	0.0263	-0.0140835	0.0839	-0.0068315
0.0158	-0.0134305	0.0269	-0.01829	0.0762	-0.0122285
0.0166	-0.0175995	0.0285	-0.0206245	0.0688	-0.0122245
0.0183	-0.019785	0.0304	-0.0216045	0.0629	-0.014531
0.0212	-0.022759	0.0324	-0.0222065	0.0589	-0.0177655
0.0231	-0.0210025	0.0356	-0.0251685	0.055	-0.0177525
0.0264	-0.0244705	0.0603	-0.071434	0.0695	-0.05296
0.0601	-0.092655	0.1187	-0.146435	0.1207	-0.125768
0.1109	-0.135216	0.1726	-0.144766	0.1665	-0.122376
0.1542	-0.125433	0.2037	-0.103917	0.202	-0.109106
0.1847	-0.103136	0.2067	-0.0491105	0.213	-0.067391
0.1895	-0.0506895	0.1879	-0.004194	0.2083	-0.0396085
0.1759	-0.011297	0.1557	0.0256915	0.187	-0.0081075
0.1465	0.0246785	0.1265	0.022563	0.1562	0.0119075
0.1131	0.036521	0.1005	0.0187805	0.1284	0.0092015
